0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,foodUp,foodDown,foodLeft,foodRight,ghostUp,ghostDown,ghostLeft,ghostRight,wallUp,wallDown,wallLeft,wallRight,lastAction,labelNextAction
0,34,6,34,6,0,34,6,34,6,0,34,34,6,0,34,6,34,6,0,34,6,34,6,-1,-1,0.5,1.0,-1,-1,0.05263157894736842,0.05263157894736842,True,True,False,False,0,3
0,34,6,34,6,0,34,2,34,6,0,34,34,6,0,34,6,34,6,0,34,6,34,6,-1,-1,0.5,1.0,-1,-1,0.05555555555555555,0.05263157894736842,True,True,False,False,3,3
0,34,2,34,6,0,34,2,34,6,0,34,34,6,0,34,6,34,6,0,34,6,6,6,-1,-1,0.3333333333333333,1.0,-1,-1,0.05263157894736842,0.05,True,True,False,False,3,3
0,34,2,34,6,0,34,2,34,6,0,34,34,6,0,34,6,6,6,0,34,6,34,34,-1,-1,0.3333333333333333,1.0,-1,-1,0.05263157894736842,0.047619047619047616,True,True,False,False,3,3
0,34,2,34,6,0,34,2,34,6,0,34,6,6,0,34,6,34,34,0,34,6,6,6,1.0,-1,0.5,1.0,0.047619047619047616,-1,0.05,0.043478260869565216,False,True,False,False,3,3
0,34,2,34,6,0,34,2,6,6,0,34,34,34,0,34,6,6,6,0,34,6,34,2,-1,-1,1.0,1.0,-1,-1,0.047619047619047616,0.041666666666666664,True,True,False,False,3,3
0,34,2,6,6,0,34,2,34,34,0,34,6,6,0,34,6,34,2,0,34,6,34,34,1.0,-1,0.5,1.0,0.04,-1,0.043478260869565216,0.037037037037037035,False,True,False,False,3,0
34,2,6,6,6,34,2,34,34,6,34,2,6,6,34,6,34,2,34,34,6,34,34,34,1.0,1.0,-1,-1,0.038461538461538464,0.041666666666666664,-1,-1,False,False,True,True,0,0
2,6,6,6,6,2,34,34,6,6,2,2,6,6,6,34,2,34,6,6,34,34,34,6,1.0,0.5,-1,0.5,0.04,0.04,-1,0.5,False,False,True,False,0,0
6,6,6,6,34,34,34,6,6,34,2,2,6,34,34,2,34,6,34,34,34,34,6,34,1.0,0.5,1.0,-1,0.041666666666666664,0.038461538461538464,0.041666666666666664,-1,False,False,False,True,0,2
34,6,34,34,34,6,6,6,6,34,34,34,6,34,2,2,2,6,34,34,2,34,6,34,1.0,-1,1.0,1.0,0.043478260869565216,-1,0.045454545454545456,0.04,False,True,False,False,2,2
34,6,34,2,34,34,6,34,34,34,6,6,6,34,34,34,2,6,34,2,2,2,6,34,0.5,1.0,-1,1.0,0.043478260869565216,0.047619047619047616,-1,0.041666666666666664,False,False,True,False,2,1
2,34,6,34,2,2,34,6,34,34,2,6,2,6,2,34,34,2,6,2,2,2,2,6,1.0,0.3333333333333333,0.5,-1,0.045454545454545456,0.047619047619047616,0.05,-1,False,False,False,True,1,2
