0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,nearestFood,nearestGhost,nearestCapsule,pacmanPositionX,pacmanPositionY,lastAction,labelNextAction
0,34,6,34,6,0,34,6,34,6,0,34,34,6,0,34,6,34,6,0,34,6,34,6,1.0,0.06666666666666667,0.08333333333333333,0.45,0.14285714285714285,2,2
0,34,6,6,6,0,34,6,34,6,0,34,34,6,0,34,2,34,6,0,34,6,34,6,0.5,0.07692307692307693,0.09090909090909091,0.4,0.14285714285714285,2,2
0,34,6,34,34,0,34,6,6,6,0,34,34,6,0,34,2,34,6,0,34,2,34,6,0.5,0.1,0.1111111111111111,0.35,0.14285714285714285,2,2
0,34,6,6,6,0,34,6,34,34,0,34,6,6,0,34,2,34,6,0,34,2,34,6,1.0,0.125,0.16666666666666666,0.3,0.14285714285714285,0,0
34,6,6,6,6,34,6,34,34,6,34,2,6,6,34,2,34,6,34,34,2,34,6,34,1.0,0.16666666666666666,0.14285714285714285,0.3,0.2857142857142857,0,0
6,6,6,6,6,6,34,34,6,6,2,2,6,6,2,34,6,34,34,2,34,6,34,2,1.0,0.25,0.16666666666666666,0.3,0.42857142857142855,3,3
6,6,6,6,6,6,34,34,6,6,2,2,6,6,2,34,2,34,34,2,34,6,34,2,1.0,0.3333333333333333,0.16666666666666666,0.3,0.42857142857142855,0,0
6,6,6,6,34,34,34,6,6,34,2,2,6,34,34,2,34,34,34,34,6,34,2,34,1.0,0.3333333333333333,0.16666666666666666,0.3,0.5714285714285714,0,0
6,6,6,34,2,34,6,6,34,2,2,2,34,2,2,34,34,34,2,6,34,2,34,2,0.5,0.5,0.16666666666666666,0.3,0.7142857142857143,2,2
10,34,6,34,2,6,6,6,34,2,34,6,34,2,2,2,2,34,2,2,34,34,34,2,1.0,0.25,0.2,0.25,0.7142857142857143,2,2
34,34,6,34,2,10,34,6,34,2,6,6,34,2,34,6,2,34,2,2,2,2,34,2,1.0,0.14285714285714285,0.3333333333333333,0.2,0.7142857142857143,2,2
6,6,6,34,2,34,34,6,34,2,10,34,34,2,6,6,2,34,2,34,6,2,34,2,0.5,0.1111111111111111,0.2,0.15,0.7142857142857143,2,2
34,34,34,34,2,6,6,6,34,2,34,34,34,2,10,34,2,34,2,6,6,2,34,2,0.5,0.08333333333333333,0.14285714285714285,0.1,0.7142857142857143,2,2
0,0,0,0,0,34,34,34,34,2,6,6,34,2,34,34,2,34,2,10,34,2,34,2,1.0,0.06666666666666667,0.1,0.05,0.7142857142857143,1,1
0,0,0,0,0,34,34,34,34,34,6,6,2,34,34,34,34,2,34,34,10,34,2,34,0.5,0.0625,0.09090909090909091,0.05,0.5714285714285714,1,1
0,0,0,0,0,34,34,34,34,34,6,6,2,2,6,34,34,34,2,6,34,10,34,2,0.5,0.05263157894736842,0.07692307692307693,0.05,0.42857142857142855,1,1
0,0,0,0,0,34,34,34,34,34,34,6,2,2,34,6,34,34,34,34,6,34,10,34,0.5,0.047619047619047616,0.08333333333333333,0.05,0.2857142857142857,1,1
0,0,0,0,0,0,34,34,34,34,0,34,2,2,0,34,6,34,34,0,34,6,34,10,0.5,0.05263157894736842,0.1,0.05,0.14285714285714285,3,3
0,34,34,34,34,0,34,2,2,2,0,34,34,34,0,34,6,34,10,0,34,6,6,6,1.0,0.06666666666666667,0.14285714285714285,0.1,0.14285714285714285,3,3
0,34,2,2,2,0,34,2,34,34,0,34,34,10,0,34,6,6,6,0,34,6,34,34,1.0,0.07142857142857142,0.2,0.15,0.14285714285714285,3,3
0,34,2,34,34,0,34,2,34,10,0,34,6,6,0,34,6,34,34,0,34,2,2,2,1.0,0.1,0.25,0.2,0.14285714285714285,0,0
34,2,34,34,34,34,2,34,10,34,34,2,6,6,34,6,34,34,6,34,2,2,2,2,1.0,0.09090909090909091,0.3333333333333333,0.2,0.2857142857142857,0,0
2,34,34,34,2,2,34,10,34,2,2,2,6,2,6,34,34,6,2,2,2,2,2,2,1.0,0.09090909090909091,0.5,0.2,0.42857142857142855,0,0
34,34,34,2,34,34,10,34,2,34,2,2,2,34,34,34,6,2,34,2,2,2,2,34,0.5,0.09090909090909091,0.3333333333333333,0.2,0.5714285714285714,3,3
2,2,2,2,34,34,34,2,2,34,2,2,2,34,34,2,34,34,34,34,6,34,2,34,0.25,1.0,0.16666666666666666,0.3,0.5714285714285714,0,0
2,34,34,34,2,2,34,10,34,2,2,2,2,2,6,34,34,2,2,2,2,2,2,2,0.25,1.0,0.5,0.2,0.42857142857142855,2,2
34,34,2,34,2,2,34,2,34,2,2,2,34,2,34,2,2,34,2,2,2,2,34,2,0.2,0.5,0.05555555555555555,0.2,0.7142857142857143,2,2
2,34,34,34,2,2,34,2,34,2,2,2,2,2,6,34,34,2,2,2,2,2,2,2,0.25,1.0,0.047619047619047616,0.2,0.42857142857142855,0,0
34,34,34,2,34,34,2,34,2,34,2,2,2,34,34,34,2,2,34,2,2,2,2,34,0.2,0.5,0.05263157894736842,0.2,0.5714285714285714,1,1
6,34,34,2,2,2,2,2,2,2,2,34,34,34,2,34,6,34,2,2,34,6,2,2,1.0,0.25,0.07692307692307693,0.35,0.42857142857142855,3,3
2,2,2,2,2,2,34,2,34,34,2,34,34,2,2,34,6,2,2,6,34,6,2,2,1.0,0.3333333333333333,0.09090909090909091,0.4,0.42857142857142855,3,3
2,34,2,34,34,2,34,2,34,2,2,34,2,2,6,34,6,2,2,6,34,6,34,2,1.0,0.3333333333333333,0.09090909090909091,0.45,0.42857142857142855,3,3
2,34,2,34,2,2,34,2,2,2,6,34,2,2,6,34,6,34,2,6,34,6,34,34,1.0,1.0,0.1,0.5,0.42857142857142855,3,3
