voteFoodUp,voteFoodDown,voteFoodLeft,voteFoodRight,voteGhostUp,voteGhostDown,voteGhosLeft,voteGhostRight,labelNextAction
0,0,0.5580000000000002,1.3509999999999993,0,0,-0.03,-0.024,East
0,0,0.2620000000000001,1.4369999999999996,0,0,0.0,-0.08199999999999999,East
0,0,0.18700000000000003,1.6029999999999998,0,0,0.0,-0.10400000000000001,East
0,0,0.139,2.0780000000000007,0,0,0.0,-0.133,East
1.9140000000000001,0,0.08300000000000002,1.469,-0.332,0,0.0,0.0,North
2.1409999999999996,0.40700000000000014,0,0,-0.755,0.0,0,0,North
2.2539999999999996,0.24900000000000005,0.555,0,0.0,0.0,-1.2630000000000001,0,North
1.487,0.4500000000000002,0,0.9830000000000001,0.0,-1.2630000000000001,0,0.0,North
0,0.5930000000000002,0,0.9870000000000001,0,-1.2630000000000001,0,0.0,East
0,1.722,0.15200000000000002,1.739,0,-0.8,-0.8,0.0,East
0,1.8659999999999997,0.2810000000000001,1.274,0,-0.8,-0.8,0.0,East
0,0,0.5590000000000002,1.27,0,0,-0.926,0.0,East
0,0,0.30200000000000016,1.225,0,0,-0.487,0.0,East
0,1.2219999999999998,0.18800000000000008,0,0,0.0,-0.332,0,South
0.13800000000000007,0.4020000000000001,0,0,-0.29500000000000004,0.0,0,0,South
0.08700000000000005,0.4170000000000001,0,0,-0.175,0.0,0,0,South
0.02,0.4460000000000001,0,0,-0.1,-0.137,0,0,South
0.0,0,0.48200000000000015,0,-0.1,0,-0.463,0,West
0,0,0.5170000000000001,0.0,0,0,-0.463,-0.137,West
0,0,0.6250000000000001,0.0,0,0,-0.8,-0.195,West
1.401,0,0.43100000000000016,0.0,0.0,0,-1.563,-0.292,North
1.3939999999999997,0.2290000000000001,0,0,0.0,-0.584,0,0,North
1.3729999999999989,0.09800000000000003,0,0.0,0.0,-0.29500000000000004,0,0.0,North
0.0,0.063,0.41200000000000014,0,0.0,-0.367,0.0,0,West
0.0,0,0.2720000000000001,0.028,0.0,0,-0.075,-0.195,West
0.0,0.4610000000000002,0,0.0,0.0,-0.292,0,-0.195,South
0.0,0.12000000000000002,0.6150000000000001,0,0.0,-0.875,0.0,0,West
0,0,0.6500000000000001,0.058,0,0,-0.075,-0.8,West
