,ghostUp,ghostDown,ghostLeft,ghostRight,wallUp,wallDown,wallLeft,wallRight,foodUp,foodDown,foodLeft,foodRight,emptyUp,emptyDown,emptyLeft,emptyRight,nearestFood,nearestGhost,nearestCapsule,legalPositionUp,legalPositionDown,legalPositionULeft,legalPositionRight,pacmanPositionX,pacmanPositionY,labelNextAction
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,1,1,1,0.066666667,0.083333333,FALSE,FALSE,TRUE,TRUE,0.45,0.142857143,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.5,0.076923077,0.090909091,FALSE,FALSE,TRUE,TRUE,0.4,0.142857143,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.5,0.090909091,0.111111111,FALSE,FALSE,TRUE,TRUE,0.35,0.142857143,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,0.142857143,0.166666667,TRUE,FALSE,TRUE,TRUE,0.3,0.142857143,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,1,1,0.5,0.142857143,0.166666667,FALSE,FALSE,TRUE,TRUE,0.25,0.142857143,West
,,,,,,,,,,,,,,,,,,,,,,,,,,
5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,1,1,1,1,0.142857143,0.25,TRUE,FALSE,TRUE,TRUE,0.2,0.142857143,North
,,,,,,,,,,,,,,,,,,,,,,,,,,
6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,1,1,1,0.142857143,0.333333333,TRUE,TRUE,FALSE,FALSE,0.2,0.285714286,North
,,,,,,,,,,,,,,,,,,,,,,,,,,
