,ghostUp,ghostDown,ghostLeft,ghostRight,wallUp,wallDown,wallLeft,wallRight,foodUp,foodDown,foodLeft,foodRight,emptyUp,emptyDown,emptyLeft,emptyRight,nearestFood,nearestGhost,nearestCapsule,legalPositionUp,legalPositionDown,legalPositionULeft,legalPositionRight,pacmanPositionX,pacmanPositionY,lastAction,labelNextAction
1235,False,False,False,False,True,True,False,False,False,False,True,True,1,1,1,1,1.0,0.06666666666666667,0.08333333333333333,False,False,True,True,0.45,0.14285714285714285,None,2
1236,False,False,False,False,True,True,False,False,False,False,True,False,1,1,1,1,0.5,0.07692307692307693,0.09090909090909091,False,False,True,True,0.4,0.14285714285714285,None,2
1237,False,False,False,False,True,True,False,False,False,False,True,False,1,1,1,1,0.5,0.1,0.1111111111111111,False,False,True,True,0.35,0.14285714285714285,None,2
1238,False,False,False,False,False,True,False,False,True,False,True,False,1,1,1,1,1.0,0.16666666666666666,0.16666666666666666,True,False,True,True,0.3,0.14285714285714285,None,2
1239,False,False,False,False,True,True,False,False,False,False,True,False,1,1,1,1,0.5,0.125,0.16666666666666666,False,False,True,True,0.25,0.14285714285714285,None,2
1240,False,False,False,False,False,True,False,False,True,False,True,False,1,1,1,1,1.0,0.09090909090909091,0.25,True,False,True,True,0.2,0.14285714285714285,None,0
1241,False,False,False,False,False,False,True,True,True,False,False,False,1,1,1,1,1.0,0.07692307692307693,0.3333333333333333,True,True,False,False,0.2,0.2857142857142857,None,0
1242,False,False,False,False,False,False,False,True,True,False,False,False,1,1,1,1,1.0,0.07142857142857142,0.5,True,True,True,False,0.2,0.42857142857142855,None,0
1243,False,False,False,False,False,False,True,False,True,False,False,True,1,1,1,1,1.0,0.07142857142857142,0.3333333333333333,True,True,False,True,0.2,0.5714285714285714,None,3
1244,False,False,False,False,False,True,False,False,True,False,False,True,1,1,1,1,1.0,0.07142857142857142,0.2,True,False,True,True,0.25,0.5714285714285714,None,0
1245,False,False,False,False,True,False,False,False,False,False,True,True,1,1,1,1,1.0,0.06666666666666667,0.2,False,True,True,True,0.25,0.7142857142857143,None,3
1246,False,False,False,False,True,False,False,True,False,True,False,False,1,1,1,1,1.0,0.0625,0.16666666666666666,False,True,True,False,0.3,0.7142857142857143,None,1
1247,False,False,False,False,False,False,False,True,False,True,False,False,1,1,1,1,1.0,0.06666666666666667,0.16666666666666666,True,True,True,False,0.3,0.5714285714285714,None,1
1248,False,False,False,False,False,False,True,False,False,True,False,True,1,1,1,1,1.0,0.07692307692307693,0.16666666666666666,True,True,False,True,0.3,0.42857142857142855,None,3
1249,False,False,False,False,True,True,False,False,False,False,False,True,1,1,1,1,1.0,0.07142857142857142,0.125,False,False,True,True,0.35,0.42857142857142855,None,3
1250,False,False,False,False,True,True,False,False,False,False,False,True,1,1,1,1,1.0,0.07692307692307693,0.1111111111111111,False,False,True,True,0.4,0.42857142857142855,None,3
1251,False,False,False,False,False,True,False,False,False,False,False,True,1,1,1,1,1.0,0.07692307692307693,0.1,True,False,True,True,0.45,0.42857142857142855,None,3
1252,False,False,False,False,False,True,False,False,False,False,False,True,1,1,1,1,1.0,0.08333333333333333,0.1,True,False,True,True,0.5,0.42857142857142855,None,3
1253,False,False,False,False,True,True,False,False,False,False,False,True,1,1,1,1,1.0,0.1111111111111111,0.1111111111111111,False,False,True,True,0.55,0.42857142857142855,None,3
1254,False,False,False,False,True,True,False,False,False,False,False,True,1,1,1,1,1.0,0.14285714285714285,0.14285714285714285,False,False,True,True,0.6,0.42857142857142855,None,3
1255,False,False,False,False,False,False,False,True,True,True,False,False,1,1,1,1,1.0,0.25,0.16666666666666666,True,True,True,False,0.65,0.42857142857142855,None,1
1256,False,False,False,False,False,False,True,True,False,True,False,False,1,1,1,1,0.5,0.2,0.14285714285714285,True,True,False,False,0.65,0.2857142857142857,None,1
1257,False,False,False,False,False,True,False,False,False,False,True,True,1,1,1,1,1.0,0.2,0.16666666666666666,True,False,True,True,0.65,0.14285714285714285,None,3
1258,False,False,False,False,True,True,False,False,False,False,False,True,1,1,1,1,1.0,0.2,0.2,False,False,True,True,0.7,0.14285714285714285,None,3
1259,False,False,False,False,False,True,False,False,True,False,False,True,1,1,1,1,1.0,0.16666666666666666,0.25,True,False,True,True,0.75,0.14285714285714285,None,0
1260,False,False,False,False,False,False,True,True,True,False,False,False,1,1,1,1,1.0,0.2,0.3333333333333333,True,True,False,False,0.75,0.2857142857142857,None,0
1261,False,False,False,False,False,False,True,False,True,False,False,False,1,1,1,1,1.0,0.5,0.5,True,True,False,True,0.75,0.42857142857142855,None,3
1262,False,False,False,False,True,True,False,True,False,False,False,False,1,1,1,1,0.5,0.5,0.5,False,False,True,False,0.8,0.42857142857142855,None,2
1263,False,False,False,False,False,False,True,False,True,False,False,False,1,1,1,1,1.0,1.0,0.045454545454545456,True,True,False,True,0.75,0.42857142857142855,None,0
1264,False,False,False,False,False,False,False,True,True,False,True,False,1,1,1,1,1.0,0.16666666666666666,0.05263157894736842,True,True,True,False,0.75,0.5714285714285714,None,2
1265,False,False,False,False,False,True,False,False,True,False,True,False,1,1,1,1,1.0,0.25,0.05263157894736842,True,False,True,True,0.7,0.5714285714285714,None,0
1266,False,False,False,False,True,False,False,False,False,False,True,True,1,1,1,1,1.0,0.16666666666666666,0.058823529411764705,False,True,True,True,0.7,0.7142857142857143,None,2
1267,False,False,False,False,True,False,True,False,False,True,False,False,1,1,1,1,1.0,0.2,0.05555555555555555,False,True,False,True,0.65,0.7142857142857143,None,1
1268,False,False,False,False,False,False,True,False,False,False,False,False,1,1,1,1,0.3333333333333333,0.2,0.0625,True,True,False,True,0.65,0.5714285714285714,None,0
1269,False,False,False,False,True,False,True,False,False,False,False,False,1,1,1,1,0.3333333333333333,0.16666666666666666,0.05555555555555555,False,True,False,True,0.65,0.7142857142857143,None,3
1270,False,False,False,False,True,False,False,False,False,False,False,True,1,1,1,1,1.0,0.14285714285714285,0.058823529411764705,False,True,True,True,0.7,0.7142857142857143,None,3
1271,False,False,False,False,True,False,False,False,False,False,False,True,1,1,1,1,1.0,0.1111111111111111,0.05555555555555555,False,True,True,True,0.75,0.7142857142857143,None,3
1272,False,False,False,False,True,True,False,False,False,False,False,True,1,1,1,1,1.0,0.08333333333333333,0.05,False,False,True,True,0.8,0.7142857142857143,None,3
1273,False,False,False,False,True,True,False,False,False,False,False,True,1,1,1,1,1.0,0.07142857142857142,0.045454545454545456,False,False,True,True,0.85,0.7142857142857143,None,3
1274,False,False,False,False,True,False,False,True,False,True,False,False,1,1,1,1,1.0,0.06666666666666667,0.041666666666666664,False,True,True,False,0.9,0.7142857142857143,None,1
1275,False,False,False,False,False,False,True,True,False,True,False,False,1,1,1,1,0.5,0.058823529411764705,0.038461538461538464,True,True,False,False,0.9,0.5714285714285714,None,1
1276,False,False,False,False,False,False,True,True,False,True,False,False,1,1,1,1,0.5,0.05555555555555555,0.038461538461538464,True,True,False,False,0.9,0.42857142857142855,None,1
1277,False,False,False,False,False,False,True,True,False,True,False,False,1,1,1,1,0.5,0.058823529411764705,0.034482758620689655,True,True,False,False,0.9,0.2857142857142857,None,1
